,count,count_no_rt
2014-08-01,,
2014-08-02,,
2014-08-03,,
2014-08-04,,
2014-08-05,,
2014-08-06,,
2014-08-07,,
2014-08-08,,
2014-08-09,,
2014-08-10,,
2014-08-11,,
2014-08-12,,
2014-08-13,,
2014-08-14,,
2014-08-15,4.0,3.0
2014-08-16,,
2014-08-17,,
2014-08-18,,
2014-08-19,5.0,0.0
2014-08-20,,
2014-08-21,,
2014-08-22,,
2014-08-23,,
2014-08-24,,
2014-08-25,,
2014-08-26,,
2014-08-27,,
2014-08-28,,
2014-08-29,,
2014-08-30,,
2014-08-31,4.0,1.0
2014-09-01,,
2014-09-02,,
2014-09-03,,
2014-09-04,,
2014-09-05,,
2014-09-06,,
2014-09-07,,
2014-09-08,,
2014-09-09,,
2014-09-10,,
2014-09-11,,
2014-09-12,,
2014-09-13,,
2014-09-14,,
2014-09-15,,
2014-09-16,,
2014-09-17,,
2014-09-18,,
2014-09-19,,
2014-09-20,,
2014-09-21,,
2014-09-22,,
2014-09-23,,
2014-09-24,,
2014-09-25,,
2014-09-26,,
2014-09-27,,
2014-09-28,6.0,2.0
2014-09-29,,
2014-09-30,,
2014-10-01,,
2014-10-02,,
2014-10-03,,
2014-10-04,,
2014-10-05,,
2014-10-06,,
2014-10-07,,
2014-10-08,,
2014-10-09,,
2014-10-10,,
2014-10-11,,
2014-10-12,,
2014-10-13,6.0,1.0
2014-10-14,,
2014-10-15,,
2014-10-16,,
2014-10-17,,
2014-10-18,,
2014-10-19,,
2014-10-20,,
2014-10-21,,
2014-10-22,,
2014-10-23,5.0,2.0
2014-10-24,,
2014-10-25,,
2014-10-26,,
2014-10-27,,
2014-10-28,,
2014-10-29,13.0,4.0
2014-10-30,12.0,3.0
2014-10-31,6.0,4.0
2014-11-01,,
2014-11-02,,
2014-11-03,,
2014-11-04,,
2014-11-05,4.0,3.0
2014-11-06,,
2014-11-07,4.0,3.0
2014-11-08,5.0,4.0
2014-11-09,5.0,4.0
2014-11-10,11.0,3.0
2014-11-11,15.0,0.0
2014-11-12,,
2014-11-13,,
2014-11-14,4.0,0.0
2014-11-15,7.0,1.0
2014-11-16,,
2014-11-17,7.0,1.0
2014-11-18,9.0,1.0
2014-11-19,4.0,3.0
2014-11-20,4.0,3.0
2014-11-21,4.0,3.0
2014-11-22,4.0,4.0
2014-11-23,,
2014-11-24,213.0,123.0
2014-11-25,976.0,344.0
2014-11-26,421.0,113.0
2014-11-27,946.0,64.0
2014-11-28,440.0,61.0
2014-11-29,425.0,43.0
2014-11-30,376.0,41.0
2014-12-01,247.0,42.0
2014-12-02,130.0,22.0
2014-12-03,474.0,172.0
2014-12-04,700.0,265.0
2014-12-05,506.0,198.0
2014-12-06,369.0,152.0
2014-12-07,441.0,95.0
2014-12-08,568.0,142.0
2014-12-09,392.0,118.0
2014-12-10,288.0,109.0
2014-12-11,314.0,114.0
2014-12-12,197.0,86.0
2014-12-13,583.0,248.0
2014-12-14,419.0,175.0
2014-12-15,226.0,112.0
2014-12-16,186.0,93.0
2014-12-17,140.0,61.0
2014-12-18,145.0,55.0
2014-12-19,91.0,48.0
2014-12-20,1027.0,431.0
2014-12-21,1605.0,709.0
2014-12-22,892.0,338.0
2014-12-23,478.0,225.0
2014-12-24,604.0,299.0
2014-12-25,195.0,64.0
2014-12-26,258.0,78.0
2014-12-27,447.0,147.0
2014-12-28,218.0,98.0
2014-12-29,196.0,82.0
2014-12-30,195.0,81.0
2014-12-31,333.0,90.0
2015-01-01,183.0,76.0
2015-01-02,150.0,53.0
2015-01-03,116.0,41.0
2015-01-04,180.0,65.0
2015-01-05,181.0,126.0
2015-01-06,284.0,174.0
2015-01-07,567.0,133.0
2015-01-08,146.0,54.0
2015-01-09,221.0,57.0
2015-01-10,203.0,59.0
2015-01-11,185.0,61.0
2015-01-12,291.0,83.0
2015-01-13,211.0,71.0
2015-01-14,115.0,62.0
2015-01-15,162.0,69.0
2015-01-16,91.0,46.0
2015-01-17,94.0,38.0
2015-01-18,72.0,34.0
2015-01-19,154.0,79.0
2015-01-20,143.0,54.0
2015-01-21,61.0,37.0
2015-01-22,83.0,41.0
2015-01-23,51.0,25.0
2015-01-24,49.0,23.0
2015-01-25,109.0,41.0
2015-01-26,47.0,24.0
2015-01-27,43.0,20.0
2015-01-28,59.0,23.0
2015-01-29,38.0,13.0
2015-01-30,49.0,24.0
2015-01-31,34.0,13.0
2015-02-01,48.0,24.0
2015-02-02,85.0,18.0
2015-02-03,43.0,12.0
2015-02-04,34.0,16.0
2015-02-05,42.0,23.0
2015-02-06,56.0,35.0
2015-02-07,43.0,23.0
2015-02-08,95.0,34.0
2015-02-09,157.0,63.0
2015-02-10,95.0,38.0
2015-02-11,1624.0,618.0
2015-02-12,717.0,241.0
2015-02-13,263.0,116.0
2015-02-14,206.0,88.0
2015-02-15,163.0,88.0
2015-02-16,175.0,84.0
2015-02-17,117.0,69.0
2015-02-18,95.0,67.0
2015-02-19,80.0,46.0
2015-02-20,62.0,30.0
2015-02-21,52.0,39.0
2015-02-22,64.0,35.0
2015-02-23,92.0,34.0
2015-02-24,28.0,13.0
2015-02-25,40.0,21.0
2015-02-26,64.0,39.0
2015-02-27,52.0,35.0
2015-02-28,37.0,18.0
2015-03-01,39.0,23.0
2015-03-02,45.0,30.0
2015-03-03,62.0,32.0
2015-03-04,110.0,23.0
2015-03-05,145.0,79.0
2015-03-06,118.0,61.0
2015-03-07,90.0,37.0
2015-03-08,72.0,31.0
2015-03-09,94.0,46.0
2015-03-10,74.0,35.0
2015-03-11,64.0,41.0
2015-03-12,283.0,147.0
2015-03-13,67.0,31.0
2015-03-14,42.0,20.0
2015-03-15,98.0,32.0
2015-03-16,44.0,24.0
2015-03-17,63.0,24.0
2015-03-18,92.0,28.0
2015-03-19,117.0,47.0
2015-03-20,102.0,31.0
2015-03-21,42.0,24.0
2015-03-22,47.0,29.0
2015-03-23,45.0,29.0
2015-03-24,50.0,27.0
2015-03-25,40.0,23.0
2015-03-26,32.0,25.0
2015-03-27,36.0,18.0
2015-03-28,35.0,19.0
2015-03-29,84.0,35.0
2015-03-30,58.0,37.0
2015-03-31,38.0,20.0
2015-04-01,59.0,39.0
2015-04-02,61.0,37.0
2015-04-03,51.0,32.0
2015-04-04,74.0,37.0
2015-04-05,352.0,26.0
2015-04-06,1800.0,42.0
2015-04-07,838.0,56.0
2015-04-08,589.0,140.0
2015-04-09,607.0,123.0
2015-04-10,238.0,62.0
2015-04-11,111.0,40.0
2015-04-12,229.0,42.0
2015-04-13,146.0,56.0
2015-04-14,232.0,65.0
2015-04-15,111.0,54.0
2015-04-16,105.0,48.0
2015-04-17,79.0,46.0
2015-04-18,53.0,33.0
2015-04-19,71.0,51.0
2015-04-20,165.0,62.0
2015-04-21,147.0,49.0
2015-04-22,83.0,37.0
2015-04-23,103.0,32.0
2015-04-24,125.0,33.0
2015-04-25,158.0,53.0
2015-04-26,190.0,41.0
2015-04-27,602.0,277.0
2015-04-28,676.0,350.0
2015-04-29,456.0,163.0
2015-04-30,278.0,150.0
2015-05-01,245.0,132.0
2015-05-02,233.0,87.0
2015-05-03,181.0,84.0
2015-05-04,335.0,93.0
2015-05-05,329.0,81.0
2015-05-06,146.0,53.0
2015-05-07,163.0,61.0
2015-05-08,90.0,44.0
2015-05-09,134.0,40.0
2015-05-10,460.0,84.0
2015-05-11,258.0,55.0
2015-05-12,248.0,52.0
2015-05-13,177.0,44.0
2015-05-14,151.0,38.0
2015-05-15,68.0,33.0
2015-05-16,69.0,19.0
2015-05-17,134.0,22.0
2015-05-18,64.0,39.0
2015-05-19,47.0,29.0
2015-05-20,117.0,41.0
2015-05-21,119.0,45.0
2015-05-22,61.0,32.0
2015-05-23,120.0,45.0
2015-05-24,62.0,25.0
2015-05-25,73.0,30.0
2015-05-26,72.0,37.0
2015-05-27,59.0,22.0
2015-05-28,85.0,27.0
2015-05-29,67.0,25.0
2015-05-30,43.0,20.0
2015-05-31,61.0,26.0
2015-06-01,58.0,24.0
2015-06-02,40.0,21.0
2015-06-03,84.0,21.0
2015-06-04,97.0,21.0
2015-06-05,57.0,23.0
2015-06-06,41.0,22.0
2015-06-07,160.0,57.0
2015-06-08,165.0,50.0
2015-06-09,97.0,41.0
2015-06-10,135.0,45.0
2015-06-11,112.0,38.0
2015-06-12,57.0,17.0
2015-06-13,131.0,31.0
2015-06-14,98.0,39.0
2015-06-15,63.0,31.0
2015-06-16,25.0,12.0
2015-06-17,58.0,29.0
2015-06-18,540.0,194.0
2015-06-19,237.0,114.0
2015-06-20,399.0,66.0
2015-06-21,344.0,64.0
2015-06-22,189.0,76.0
2015-06-23,148.0,67.0
2015-06-24,181.0,86.0
2015-06-25,166.0,45.0
2015-06-26,129.0,53.0
2015-06-27,116.0,37.0
2015-06-28,140.0,35.0
2015-06-29,48.0,19.0
2015-06-30,209.0,37.0
2015-07-01,149.0,42.0
2015-07-02,144.0,40.0
2015-07-03,81.0,29.0
2015-07-04,50.0,15.0
2015-07-05,171.0,24.0
2015-07-06,205.0,29.0
2015-07-07,62.0,21.0
2015-07-08,50.0,18.0
2015-07-09,62.0,34.0
2015-07-10,49.0,30.0
2015-07-11,43.0,24.0
2015-07-12,72.0,20.0
2015-07-13,99.0,36.0
2015-07-14,119.0,50.0
2015-07-15,66.0,29.0
2015-07-16,140.0,64.0
2015-07-17,240.0,43.0
2015-07-18,358.0,71.0
2015-07-19,458.0,145.0
2015-07-20,637.0,283.0
2015-07-21,946.0,360.0
2015-07-22,690.0,256.0
2015-07-23,1902.0,446.0
2015-07-24,1085.0,224.0
2015-07-25,409.0,111.0
2015-07-26,626.0,130.0
2015-07-27,695.0,227.0
2015-07-28,2456.0,353.0
2015-07-29,1322.0,326.0
2015-07-30,1146.0,188.0
2015-07-31,490.0,106.0
2015-08-01,371.0,91.0
2015-08-02,446.0,144.0
2015-08-03,522.0,135.0
2015-08-04,1362.0,151.0
2015-08-05,1814.0,287.0
2015-08-06,1716.0,339.0
2015-08-07,690.0,157.0
2015-08-08,794.0,187.0
2015-08-09,840.0,237.0
2015-08-10,653.0,273.0
2015-08-11,501.0,208.0
2015-08-12,379.0,154.0
2015-08-13,398.0,131.0
2015-08-14,389.0,144.0
2015-08-15,420.0,97.0
2015-08-16,327.0,87.0
2015-08-17,251.0,90.0
2015-08-18,252.0,111.0
2015-08-19,259.0,126.0
2015-08-20,230.0,111.0
2015-08-21,296.0,95.0
2015-08-22,334.0,119.0
2015-08-23,403.0,130.0
2015-08-24,224.0,93.0
2015-08-25,228.0,79.0
2015-08-26,688.0,296.0
2015-08-27,410.0,174.0
2015-08-28,263.0,107.0
2015-08-29,1082.0,306.0
2015-08-30,1567.0,350.0
2015-08-31,951.0,419.0
2015-09-01,1066.0,551.0
2015-09-02,850.0,411.0
2015-09-03,979.0,381.0
2015-09-04,788.0,298.0
2015-09-05,538.0,181.0
2015-09-06,798.0,288.0
2015-09-07,513.0,208.0
2015-09-08,353.0,146.0
2015-09-09,305.0,168.0
2015-09-10,450.0,176.0
2015-09-11,470.0,243.0
2015-09-12,368.0,185.0
2015-09-13,421.0,188.0
2015-09-14,328.0,203.0
2015-09-15,309.0,184.0
2015-09-16,254.0,171.0
2015-09-17,390.0,133.0
2015-09-18,296.0,132.0
2015-09-19,307.0,125.0
2015-09-20,283.0,92.0
2015-09-21,313.0,101.0
2015-09-22,310.0,109.0
2015-09-23,432.0,134.0
2015-09-24,483.0,132.0
2015-09-25,264.0,100.0
2015-09-26,241.0,110.0
2015-09-27,191.0,91.0
2015-09-28,493.0,118.0
2015-09-29,272.0,110.0
2015-09-30,195.0,86.0
2015-10-01,265.0,111.0
2015-10-02,209.0,99.0
2015-10-03,200.0,106.0
2015-10-04,145.0,74.0
2015-10-05,148.0,85.0
2015-10-06,137.0,92.0
2015-10-07,166.0,65.0
2015-10-08,649.0,59.0
2015-10-09,907.0,84.0
2015-10-10,447.0,60.0
2015-10-11,325.0,60.0
2015-10-12,214.0,44.0
2015-10-13,1226.0,384.0
2015-10-14,545.0,118.0
2015-10-15,328.0,81.0
2015-10-16,307.0,81.0
2015-10-17,237.0,47.0
2015-10-18,139.0,40.0
2015-10-19,124.0,50.0
2015-10-20,143.0,45.0
2015-10-21,229.0,88.0
2015-10-22,162.0,52.0
2015-10-23,126.0,53.0
2015-10-24,98.0,46.0
2015-10-25,225.0,43.0
2015-10-26,250.0,79.0
2015-10-27,333.0,85.0
2015-10-28,217.0,84.0
2015-10-29,146.0,69.0
2015-10-30,136.0,48.0
2015-10-31,87.0,37.0
2015-11-01,137.0,49.0
2015-11-02,144.0,49.0
2015-11-03,117.0,44.0
2015-11-04,191.0,58.0
2015-11-05,220.0,43.0
2015-11-06,295.0,47.0
2015-11-07,157.0,33.0
2015-11-08,170.0,37.0
2015-11-09,108.0,44.0
2015-11-10,121.0,41.0
2015-11-11,759.0,121.0
2015-11-12,369.0,65.0
2015-11-13,377.0,103.0
2015-11-14,1123.0,154.0
2015-11-15,650.0,126.0
2015-11-16,654.0,189.0
2015-11-17,571.0,157.0
2015-11-18,430.0,151.0
2015-11-19,589.0,112.0
2015-11-20,311.0,85.0
2015-11-21,316.0,67.0
2015-11-22,334.0,93.0
2015-11-23,228.0,78.0
2015-11-24,527.0,172.0
2015-11-25,247.0,105.0
2015-11-26,156.0,55.0
2015-11-27,398.0,90.0
2015-11-28,614.0,84.0
2015-11-29,263.0,61.0
2015-11-30,134.0,48.0
2015-12-01,144.0,69.0
2015-12-02,254.0,77.0
2015-12-03,113.0,64.0
2015-12-04,103.0,50.0
2015-12-05,113.0,37.0
2015-12-06,90.0,26.0
2015-12-07,137.0,40.0
2015-12-08,287.0,39.0
2015-12-09,141.0,55.0
2015-12-10,87.0,44.0
2015-12-11,163.0,35.0
2015-12-12,160.0,28.0
2015-12-13,183.0,35.0
2015-12-14,103.0,28.0
2015-12-15,271.0,173.0
2015-12-16,156.0,82.0
2015-12-17,138.0,65.0
2015-12-18,129.0,61.0
2015-12-19,112.0,54.0
2015-12-20,101.0,35.0
2015-12-21,87.0,40.0
2015-12-22,115.0,56.0
2015-12-23,130.0,48.0
2015-12-24,166.0,76.0
2015-12-25,138.0,36.0
2015-12-26,129.0,39.0
2015-12-27,74.0,30.0
2015-12-28,160.0,70.0
2015-12-29,165.0,66.0
2015-12-30,131.0,45.0
2015-12-31,156.0,38.0
2016-01-01,78.0,32.0
2016-01-02,83.0,33.0
2016-01-03,121.0,44.0
2016-01-04,100.0,32.0
2016-01-05,57.0,34.0
2016-01-06,91.0,54.0
2016-01-07,72.0,30.0
2016-01-08,86.0,28.0
2016-01-09,102.0,17.0
2016-01-10,54.0,14.0
2016-01-11,206.0,23.0
2016-01-12,76.0,25.0
2016-01-13,43.0,21.0
2016-01-14,44.0,13.0
2016-01-15,32.0,20.0
2016-01-16,41.0,13.0
2016-01-17,88.0,29.0
2016-01-18,178.0,77.0
2016-01-19,61.0,31.0
2016-01-20,55.0,34.0
2016-01-21,70.0,22.0
2016-01-22,66.0,32.0
2016-01-23,157.0,24.0
2016-01-24,53.0,16.0
2016-01-25,49.0,20.0
2016-01-26,41.0,13.0
2016-01-27,168.0,30.0
2016-01-28,92.0,16.0
2016-01-29,46.0,12.0
2016-01-30,42.0,15.0
2016-01-31,87.0,13.0
2016-02-01,49.0,12.0
2016-02-02,25.0,12.0
2016-02-03,31.0,17.0
2016-02-04,37.0,28.0
2016-02-05,70.0,28.0
2016-02-06,93.0,30.0
2016-02-07,75.0,35.0
2016-02-08,104.0,46.0
2016-02-09,95.0,43.0
2016-02-10,87.0,40.0
2016-02-11,84.0,49.0
2016-02-12,114.0,59.0
2016-02-13,136.0,47.0
2016-02-14,48.0,21.0
2016-02-15,173.0,39.0
2016-02-16,61.0,30.0
2016-02-17,103.0,56.0
2016-02-18,79.0,31.0
2016-02-19,111.0,64.0
2016-02-20,57.0,28.0
2016-02-21,57.0,28.0
2016-02-22,186.0,32.0
2016-02-23,83.0,37.0
2016-02-24,101.0,51.0
2016-02-25,152.0,79.0
2016-02-26,126.0,66.0
2016-02-27,85.0,31.0
2016-02-28,162.0,55.0
2016-02-29,184.0,80.0
2016-03-01,138.0,43.0
2016-03-02,71.0,32.0
2016-03-03,218.0,38.0
2016-03-04,222.0,34.0
2016-03-05,150.0,26.0
2016-03-06,161.0,46.0
2016-03-07,613.0,10.0
2016-03-08,167.0,29.0
2016-03-09,103.0,34.0
2016-03-10,149.0,29.0
2016-03-11,108.0,43.0
2016-03-12,144.0,39.0
2016-03-13,112.0,35.0
2016-03-14,95.0,57.0
2016-03-15,84.0,31.0
2016-03-16,136.0,48.0
2016-03-17,68.0,25.0
2016-03-18,91.0,37.0
2016-03-19,201.0,40.0
2016-03-20,82.0,26.0
2016-03-21,88.0,23.0
2016-03-22,86.0,33.0
2016-03-23,43.0,18.0
2016-03-24,54.0,21.0
2016-03-25,69.0,26.0
2016-03-26,46.0,10.0
2016-03-27,64.0,14.0
2016-03-28,78.0,20.0
2016-03-29,54.0,25.0
2016-03-30,51.0,22.0
2016-03-31,68.0,28.0
2016-04-01,42.0,20.0
2016-04-02,34.0,24.0
2016-04-03,37.0,9.0
2016-04-04,46.0,18.0
2016-04-05,68.0,27.0
2016-04-06,44.0,16.0
2016-04-07,44.0,23.0
2016-04-08,75.0,19.0
2016-04-09,60.0,19.0
2016-04-10,40.0,15.0
2016-04-11,47.0,14.0
2016-04-12,62.0,21.0
2016-04-13,78.0,13.0
