,count,count_no_rt
2014-08-01,,
2014-08-02,,
2014-08-03,,
2014-08-04,,
2014-08-05,,
2014-08-06,,
2014-08-07,4.0,1.0
2014-08-08,,
2014-08-09,,
2014-08-10,40.0,11.0
2014-08-11,31.0,20.0
2014-08-12,68.0,27.0
2014-08-13,74.0,36.0
2014-08-14,258.0,90.0
2014-08-15,156.0,51.0
2014-08-16,127.0,35.0
2014-08-17,123.0,32.0
2014-08-18,209.0,37.0
2014-08-19,154.0,58.0
2014-08-20,136.0,51.0
2014-08-21,106.0,43.0
2014-08-22,173.0,61.0
2014-08-23,104.0,34.0
2014-08-24,127.0,19.0
2014-08-25,59.0,26.0
2014-08-26,297.0,62.0
2014-08-27,72.0,35.0
2014-08-28,111.0,42.0
2014-08-29,159.0,41.0
2014-08-30,837.0,127.0
2014-08-31,406.0,65.0
2014-09-01,92.0,27.0
2014-09-02,47.0,28.0
2014-09-03,55.0,19.0
2014-09-04,35.0,14.0
2014-09-05,25.0,17.0
2014-09-06,55.0,13.0
2014-09-07,37.0,6.0
2014-09-08,31.0,19.0
2014-09-09,29.0,12.0
2014-09-10,25.0,9.0
2014-09-11,26.0,10.0
2014-09-12,50.0,28.0
2014-09-13,10.0,6.0
2014-09-14,66.0,28.0
2014-09-15,95.0,13.0
2014-09-16,26.0,7.0
2014-09-17,42.0,7.0
2014-09-18,30.0,8.0
2014-09-19,145.0,16.0
2014-09-20,40.0,3.0
2014-09-21,26.0,7.0
2014-09-22,37.0,11.0
2014-09-23,22.0,7.0
2014-09-24,74.0,22.0
2014-09-25,51.0,31.0
2014-09-26,38.0,14.0
2014-09-27,31.0,10.0
2014-09-28,26.0,14.0
2014-09-29,25.0,7.0
2014-09-30,10.0,4.0
2014-10-01,69.0,21.0
2014-10-02,21.0,10.0
2014-10-03,40.0,7.0
2014-10-04,19.0,7.0
2014-10-05,72.0,25.0
2014-10-06,62.0,31.0
2014-10-07,45.0,20.0
2014-10-08,47.0,24.0
2014-10-09,284.0,104.0
2014-10-10,197.0,71.0
2014-10-11,515.0,95.0
2014-10-12,193.0,48.0
2014-10-13,381.0,91.0
2014-10-14,184.0,67.0
2014-10-15,68.0,26.0
2014-10-16,45.0,21.0
2014-10-17,113.0,28.0
2014-10-18,103.0,30.0
2014-10-19,41.0,16.0
2014-10-20,47.0,11.0
2014-10-21,53.0,21.0
2014-10-22,455.0,91.0
2014-10-23,144.0,58.0
2014-10-24,65.0,30.0
2014-10-25,141.0,44.0
2014-10-26,83.0,29.0
2014-10-27,62.0,16.0
2014-10-28,45.0,21.0
2014-10-29,64.0,38.0
2014-10-30,78.0,26.0
2014-10-31,57.0,20.0
2014-11-01,105.0,36.0
2014-11-02,50.0,21.0
2014-11-03,35.0,24.0
2014-11-04,42.0,25.0
2014-11-05,38.0,21.0
2014-11-06,20.0,13.0
2014-11-07,32.0,14.0
2014-11-08,30.0,13.0
2014-11-09,56.0,20.0
2014-11-10,27.0,11.0
2014-11-11,44.0,24.0
2014-11-12,45.0,20.0
2014-11-13,59.0,26.0
2014-11-14,57.0,23.0
2014-11-15,40.0,16.0
2014-11-16,61.0,27.0
2014-11-17,129.0,50.0
2014-11-18,113.0,29.0
2014-11-19,81.0,32.0
2014-11-20,68.0,31.0
2014-11-21,80.0,24.0
2014-11-22,81.0,22.0
2014-11-23,163.0,40.0
2014-11-24,5721.0,2042.0
2014-11-25,9395.0,2993.0
2014-11-26,3799.0,1134.0
2014-11-27,2765.0,606.0
2014-11-28,3776.0,840.0
2014-11-29,1732.0,409.0
2014-11-30,1510.0,367.0
2014-12-01,1849.0,552.0
2014-12-02,1391.0,462.0
2014-12-03,11113.0,3324.0
2014-12-04,13493.0,3222.0
2014-12-05,10205.0,2300.0
2014-12-06,6724.0,1491.0
2014-12-07,7619.0,1336.0
2014-12-08,7332.0,1452.0
2014-12-09,5237.0,1142.0
2014-12-10,6005.0,1214.0
2014-12-11,4618.0,923.0
2014-12-12,3364.0,900.0
2014-12-13,12129.0,2624.0
2014-12-14,6039.0,1424.0
2014-12-15,4071.0,1060.0
2014-12-16,3316.0,923.0
2014-12-17,2588.0,766.0
2014-12-18,2026.0,734.0
2014-12-19,2524.0,731.0
2014-12-20,6673.0,1312.0
2014-12-21,4498.0,1223.0
2014-12-22,3603.0,964.0
2014-12-23,3668.0,871.0
2014-12-24,4648.0,1613.0
2014-12-25,1158.0,375.0
2014-12-26,1635.0,544.0
2014-12-27,2971.0,651.0
2014-12-28,1935.0,573.0
2014-12-29,1827.0,671.0
2014-12-30,1296.0,487.0
2014-12-31,2077.0,601.0
2015-01-01,2244.0,490.0
2015-01-02,1520.0,388.0
2015-01-03,1131.0,352.0
2015-01-04,1367.0,380.0
2015-01-05,1465.0,451.0
2015-01-06,1664.0,511.0
2015-01-07,1690.0,525.0
2015-01-08,1212.0,467.0
2015-01-09,1190.0,415.0
2015-01-10,1448.0,367.0
2015-01-11,935.0,344.0
2015-01-12,1783.0,394.0
2015-01-13,1137.0,366.0
2015-01-14,1428.0,383.0
2015-01-15,2103.0,575.0
2015-01-16,1482.0,421.0
2015-01-17,1318.0,407.0
2015-01-18,1713.0,557.0
2015-01-19,2935.0,1086.0
2015-01-20,1600.0,701.0
2015-01-21,1009.0,513.0
2015-01-22,816.0,341.0
2015-01-23,910.0,279.0
2015-01-24,754.0,288.0
2015-01-25,709.0,250.0
2015-01-26,713.0,268.0
2015-01-27,578.0,236.0
2015-01-28,819.0,297.0
2015-01-29,677.0,269.0
2015-01-30,591.0,252.0
2015-01-31,642.0,186.0
2015-02-01,1064.0,335.0
2015-02-02,496.0,193.0
2015-02-03,599.0,246.0
2015-02-04,761.0,348.0
2015-02-05,1838.0,366.0
2015-02-06,698.0,257.0
2015-02-07,550.0,231.0
2015-02-08,2095.0,482.0
2015-02-09,1923.0,384.0
2015-02-10,803.0,277.0
2015-02-11,1307.0,440.0
2015-02-12,880.0,328.0
2015-02-13,656.0,266.0
2015-02-14,666.0,242.0
2015-02-15,467.0,179.0
2015-02-16,808.0,217.0
2015-02-17,574.0,200.0
2015-02-18,776.0,247.0
2015-02-19,476.0,212.0
2015-02-20,668.0,223.0
2015-02-21,613.0,223.0
2015-02-22,911.0,279.0
2015-02-23,535.0,188.0
2015-02-24,581.0,249.0
2015-02-25,584.0,222.0
2015-02-26,866.0,259.0
2015-02-27,1225.0,192.0
2015-02-28,584.0,161.0
2015-03-01,409.0,151.0
2015-03-02,674.0,228.0
2015-03-03,557.0,253.0
2015-03-04,627.0,312.0
2015-03-05,1654.0,618.0
2015-03-06,1350.0,475.0
2015-03-07,2547.0,513.0
2015-03-08,982.0,316.0
2015-03-09,1691.0,465.0
2015-03-10,1671.0,459.0
2015-03-11,1268.0,364.0
2015-03-12,1166.0,382.0
2015-03-13,751.0,215.0
2015-03-14,547.0,178.0
2015-03-15,460.0,168.0
2015-03-16,500.0,203.0
2015-03-17,531.0,201.0
2015-03-18,2344.0,517.0
2015-03-19,1680.0,422.0
2015-03-20,792.0,303.0
2015-03-21,741.0,233.0
2015-03-22,514.0,190.0
2015-03-23,692.0,178.0
2015-03-24,684.0,239.0
2015-03-25,646.0,278.0
2015-03-26,978.0,258.0
2015-03-27,430.0,179.0
2015-03-28,442.0,196.0
2015-03-29,566.0,220.0
2015-03-30,654.0,271.0
2015-03-31,611.0,241.0
2015-04-01,478.0,248.0
2015-04-02,525.0,251.0
2015-04-03,765.0,299.0
2015-04-04,531.0,252.0
2015-04-05,789.0,260.0
2015-04-06,737.0,248.0
2015-04-07,1526.0,602.0
2015-04-08,3255.0,1128.0
2015-04-09,2771.0,752.0
2015-04-10,1349.0,452.0
2015-04-11,866.0,284.0
2015-04-12,1672.0,437.0
2015-04-13,1229.0,405.0
2015-04-14,1410.0,475.0
2015-04-15,927.0,324.0
2015-04-16,740.0,307.0
2015-04-17,729.0,259.0
2015-04-18,645.0,230.0
2015-04-19,687.0,260.0
2015-04-20,890.0,374.0
2015-04-21,997.0,335.0
2015-04-22,778.0,286.0
2015-04-23,694.0,280.0
2015-04-24,635.0,290.0
2015-04-25,1483.0,482.0
2015-04-26,1876.0,556.0
2015-04-27,4545.0,1517.0
2015-04-28,6061.0,1904.0
2015-04-29,4668.0,1453.0
2015-04-30,3460.0,1339.0
2015-05-01,3696.0,1507.0
2015-05-02,2454.0,973.0
2015-05-03,2523.0,804.0
2015-05-04,1633.0,768.0
2015-05-05,1610.0,730.0
2015-05-06,1237.0,700.0
2015-05-07,1048.0,515.0
2015-05-08,1009.0,269.0
2015-05-09,1173.0,300.0
2015-05-10,1001.0,363.0
2015-05-11,847.0,345.0
2015-05-12,1158.0,397.0
2015-05-13,1119.0,383.0
2015-05-14,1351.0,361.0
2015-05-15,974.0,299.0
2015-05-16,930.0,220.0
2015-05-17,746.0,256.0
2015-05-18,913.0,337.0
2015-05-19,907.0,300.0
2015-05-20,1167.0,298.0
2015-05-21,1322.0,376.0
2015-05-22,590.0,208.0
2015-05-23,1183.0,364.0
2015-05-24,1069.0,285.0
2015-05-25,1010.0,301.0
2015-05-26,678.0,284.0
2015-05-27,504.0,201.0
2015-05-28,587.0,253.0
2015-05-29,576.0,250.0
2015-05-30,793.0,239.0
2015-05-31,582.0,203.0
2015-06-01,752.0,252.0
2015-06-02,671.0,240.0
2015-06-03,557.0,203.0
2015-06-04,581.0,226.0
2015-06-05,538.0,200.0
2015-06-06,504.0,152.0
2015-06-07,2028.0,597.0
2015-06-08,2040.0,603.0
2015-06-09,1473.0,496.0
2015-06-10,883.0,304.0
2015-06-11,1242.0,315.0
2015-06-12,963.0,269.0
2015-06-13,919.0,259.0
2015-06-14,506.0,187.0
2015-06-15,472.0,183.0
2015-06-16,530.0,224.0
2015-06-17,716.0,283.0
2015-06-18,4682.0,1792.0
2015-06-19,3332.0,959.0
2015-06-20,2039.0,460.0
2015-06-21,1694.0,472.0
2015-06-22,1638.0,434.0
2015-06-23,1712.0,485.0
2015-06-24,1483.0,411.0
2015-06-25,952.0,371.0
2015-06-26,1221.0,480.0
2015-06-27,2261.0,452.0
2015-06-28,2046.0,442.0
2015-06-29,1441.0,393.0
2015-06-30,1046.0,304.0
2015-07-01,1531.0,403.0
2015-07-02,780.0,315.0
2015-07-03,513.0,217.0
2015-07-04,532.0,201.0
2015-07-05,543.0,193.0
2015-07-06,943.0,375.0
2015-07-07,714.0,259.0
2015-07-08,691.0,219.0
2015-07-09,373.0,142.0
2015-07-10,476.0,165.0
2015-07-11,557.0,167.0
2015-07-12,377.0,118.0
2015-07-13,683.0,194.0
2015-07-14,615.0,209.0
2015-07-15,797.0,184.0
2015-07-16,2109.0,570.0
2015-07-17,1940.0,429.0
2015-07-18,3114.0,686.0
2015-07-19,3286.0,793.0
2015-07-20,2728.0,722.0
2015-07-21,5707.0,1323.0
2015-07-22,3989.0,1282.0
2015-07-23,13279.0,3184.0
2015-07-24,7436.0,1603.0
2015-07-25,5318.0,955.0
2015-07-26,5538.0,1002.0
2015-07-27,3856.0,957.0
2015-07-28,3631.0,1001.0
2015-07-29,5479.0,1897.0
2015-07-30,3423.0,1172.0
2015-07-31,2201.0,758.0
2015-08-01,1836.0,564.0
2015-08-02,2232.0,564.0
2015-08-03,2568.0,630.0
2015-08-04,2256.0,545.0
2015-08-05,2203.0,559.0
2015-08-06,5349.0,1407.0
2015-08-07,2031.0,574.0
2015-08-08,6044.0,1746.0
2015-08-09,9525.0,3342.0
2015-08-10,7868.0,2512.0
2015-08-11,6177.0,1936.0
2015-08-12,4686.0,1478.0
2015-08-13,4239.0,1336.0
2015-08-14,3350.0,955.0
2015-08-15,3262.0,695.0
2015-08-16,3634.0,692.0
2015-08-17,2950.0,763.0
2015-08-18,3297.0,1170.0
2015-08-19,3992.0,1246.0
2015-08-20,3195.0,1017.0
2015-08-21,2863.0,920.0
2015-08-22,1835.0,592.0
2015-08-23,1980.0,613.0
2015-08-24,1891.0,713.0
2015-08-25,2055.0,859.0
2015-08-26,4203.0,1043.0
2015-08-27,3073.0,802.0
2015-08-28,1585.0,546.0
2015-08-29,3347.0,966.0
2015-08-30,3698.0,1001.0
2015-08-31,4749.0,1393.0
2015-09-01,5288.0,1518.0
2015-09-02,4664.0,1406.0
2015-09-03,5706.0,1045.0
2015-09-04,3231.0,837.0
2015-09-05,2105.0,617.0
2015-09-06,2299.0,642.0
2015-09-07,1968.0,571.0
2015-09-08,1798.0,636.0
2015-09-09,2118.0,604.0
2015-09-10,1834.0,619.0
2015-09-11,1710.0,611.0
2015-09-12,1806.0,471.0
2015-09-13,1406.0,447.0
2015-09-14,1952.0,566.0
2015-09-15,1790.0,567.0
2015-09-16,1945.0,638.0
2015-09-17,1752.0,615.0
2015-09-18,1685.0,480.0
2015-09-19,2298.0,547.0
2015-09-20,1875.0,363.0
2015-09-21,1303.0,375.0
2015-09-22,1098.0,396.0
2015-09-23,1456.0,427.0
2015-09-24,993.0,312.0
2015-09-25,1196.0,323.0
2015-09-26,1925.0,325.0
2015-09-27,1191.0,301.0
2015-09-28,1240.0,372.0
2015-09-29,1146.0,371.0
2015-09-30,1177.0,360.0
2015-10-01,1097.0,316.0
2015-10-02,879.0,307.0
2015-10-03,885.0,279.0
2015-10-04,850.0,277.0
2015-10-05,939.0,299.0
2015-10-06,799.0,292.0
2015-10-07,935.0,314.0
2015-10-08,991.0,324.0
2015-10-09,973.0,341.0
2015-10-10,1376.0,416.0
2015-10-11,1550.0,324.0
2015-10-12,955.0,334.0
2015-10-13,10587.0,5295.0
2015-10-14,3412.0,1001.0
2015-10-15,1439.0,423.0
2015-10-16,1440.0,334.0
2015-10-17,1000.0,304.0
2015-10-18,1016.0,248.0
2015-10-19,1245.0,378.0
2015-10-20,1575.0,451.0
2015-10-21,1609.0,528.0
2015-10-22,1681.0,540.0
2015-10-23,1485.0,462.0
2015-10-24,1695.0,484.0
2015-10-25,1595.0,395.0
2015-10-26,2063.0,627.0
2015-10-27,1920.0,667.0
2015-10-28,1688.0,700.0
2015-10-29,1166.0,404.0
2015-10-30,1866.0,577.0
2015-10-31,1155.0,382.0
2015-11-01,1291.0,344.0
2015-11-02,1196.0,369.0
2015-11-03,1547.0,459.0
2015-11-04,2026.0,530.0
2015-11-05,1380.0,425.0
2015-11-06,1281.0,413.0
2015-11-07,915.0,300.0
2015-11-08,1100.0,325.0
2015-11-09,1323.0,411.0
2015-11-10,1511.0,536.0
2015-11-11,3456.0,1112.0
2015-11-12,1973.0,575.0
2015-11-13,1750.0,622.0
2015-11-14,1639.0,645.0
2015-11-15,1832.0,521.0
2015-11-16,2260.0,705.0
2015-11-17,1749.0,589.0
2015-11-18,1574.0,578.0
2015-11-19,1964.0,570.0
2015-11-20,1688.0,487.0
2015-11-21,1671.0,477.0
2015-11-22,1689.0,585.0
2015-11-23,1636.0,551.0
2015-11-24,5790.0,1614.0
2015-11-25,3003.0,928.0
2015-11-26,1530.0,510.0
2015-11-27,3080.0,888.0
2015-11-28,2022.0,577.0
2015-11-29,1384.0,411.0
2015-11-30,1503.0,523.0
2015-12-01,1438.0,537.0
2015-12-02,1268.0,474.0
2015-12-03,1643.0,485.0
2015-12-04,1316.0,358.0
2015-12-05,1082.0,306.0
2015-12-06,1005.0,301.0
2015-12-07,1104.0,407.0
2015-12-08,831.0,290.0
2015-12-09,1109.0,399.0
2015-12-10,1114.0,394.0
2015-12-11,1050.0,331.0
2015-12-12,743.0,234.0
2015-12-13,1041.0,320.0
2015-12-14,970.0,333.0
2015-12-15,1822.0,375.0
2015-12-16,1643.0,392.0
2015-12-17,976.0,302.0
2015-12-18,758.0,269.0
2015-12-19,972.0,298.0
2015-12-20,574.0,141.0
2015-12-21,799.0,302.0
2015-12-22,1288.0,410.0
2015-12-23,3073.0,859.0
2015-12-24,1436.0,439.0
2015-12-25,667.0,224.0
2015-12-26,819.0,211.0
2015-12-27,830.0,246.0
2015-12-28,2655.0,850.0
2015-12-29,2573.0,603.0
2015-12-30,1513.0,508.0
2015-12-31,1194.0,350.0
2016-01-01,843.0,290.0
2016-01-02,934.0,277.0
2016-01-03,1995.0,724.0
2016-01-04,1369.0,386.0
2016-01-05,1010.0,292.0
2016-01-06,765.0,303.0
2016-01-07,683.0,213.0
2016-01-08,840.0,242.0
2016-01-09,431.0,178.0
2016-01-10,543.0,183.0
2016-01-11,601.0,203.0
2016-01-12,814.0,276.0
2016-01-13,478.0,227.0
2016-01-14,698.0,299.0
2016-01-15,710.0,309.0
2016-01-16,473.0,175.0
2016-01-17,1366.0,374.0
2016-01-18,3924.0,734.0
2016-01-19,1276.0,425.0
2016-01-20,1561.0,360.0
2016-01-21,1529.0,366.0
2016-01-22,1169.0,422.0
2016-01-23,943.0,295.0
2016-01-24,798.0,265.0
2016-01-25,1025.0,564.0
2016-01-26,1349.0,600.0
2016-01-27,981.0,294.0
2016-01-28,749.0,230.0
2016-01-29,842.0,326.0
2016-01-30,662.0,207.0
2016-01-31,609.0,196.0
2016-02-01,1339.0,355.0
2016-02-02,821.0,177.0
2016-02-03,1294.0,289.0
2016-02-04,1213.0,366.0
2016-02-05,2047.0,393.0
2016-02-06,4131.0,307.0
2016-02-07,2598.0,345.0
2016-02-08,2180.0,425.0
2016-02-09,1719.0,461.0
2016-02-10,1494.0,449.0
2016-02-11,1619.0,564.0
2016-02-12,1574.0,454.0
2016-02-13,1804.0,302.0
2016-02-14,1239.0,213.0
2016-02-15,2510.0,361.0
2016-02-16,3686.0,462.0
2016-02-17,1456.0,361.0
2016-02-18,1405.0,442.0
