,count,count_no_rt
2014-08-01,,
2014-08-02,,
2014-08-03,,
2014-08-04,,
2014-08-05,,
2014-08-06,,
2014-08-07,,
2014-08-08,,
2014-08-09,,
2014-08-10,,
2014-08-11,,
2014-08-12,,
2014-08-13,,
2014-08-14,,
2014-08-15,,
2014-08-16,,
2014-08-17,,
2014-08-18,,
2014-08-19,,
2014-08-20,,
2014-08-21,,
2014-08-22,,
2014-08-23,,
2014-08-24,,
2014-08-25,,
2014-08-26,,
2014-08-27,,
2014-08-28,,
2014-08-29,,
2014-08-30,,
2014-08-31,,
2014-09-01,,
2014-09-02,,
2014-09-03,,
2014-09-04,,
2014-09-05,,
2014-09-06,,
2014-09-07,,
2014-09-08,,
2014-09-09,,
2014-09-10,,
2014-09-11,,
2014-09-12,,
2014-09-13,,
2014-09-14,,
2014-09-15,,
2014-09-16,,
2014-09-17,,
2014-09-18,,
2014-09-19,,
2014-09-20,,
2014-09-21,,
2014-09-22,,
2014-09-23,,
2014-09-24,,
2014-09-25,,
2014-09-26,,
2014-09-27,,
2014-09-28,,
2014-09-29,,
2014-09-30,,
2014-10-01,,
2014-10-02,,
2014-10-03,,
2014-10-04,,
2014-10-05,,
2014-10-06,,
2014-10-07,,
2014-10-08,,
2014-10-09,,
2014-10-10,,
2014-10-11,,
2014-10-12,,
2014-10-13,,
2014-10-14,,
2014-10-15,,
2014-10-16,,
2014-10-17,,
2014-10-18,,
2014-10-19,,
2014-10-20,,
2014-10-21,,
2014-10-22,,
2014-10-23,,
2014-10-24,,
2014-10-25,,
2014-10-26,,
2014-10-27,,
2014-10-28,,
2014-10-29,,
2014-10-30,,
2014-10-31,,
2014-11-01,,
2014-11-02,,
2014-11-03,,
2014-11-04,,
2014-11-05,,
2014-11-06,,
2014-11-07,,
2014-11-08,,
2014-11-09,,
2014-11-10,,
2014-11-11,,
2014-11-12,,
2014-11-13,,
2014-11-14,,
2014-11-15,,
2014-11-16,,
2014-11-17,,
2014-11-18,,
2014-11-19,,
2014-11-20,,
2014-11-21,,
2014-11-22,,
2014-11-23,,
2014-11-24,,
2014-11-25,,
2014-11-26,,
2014-11-27,,
2014-11-28,,
2014-11-29,,
2014-11-30,,
2014-12-01,,
2014-12-02,,
2014-12-03,,
2014-12-04,,
2014-12-05,,
2014-12-06,4.0,2.0
2014-12-07,18.0,6.0
2014-12-08,,
2014-12-09,,
2014-12-10,,
2014-12-11,89.0,28.0
2014-12-12,75.0,17.0
2014-12-13,64.0,20.0
2014-12-14,96.0,20.0
2014-12-15,294.0,72.0
2014-12-16,197.0,42.0
2014-12-17,78.0,14.0
2014-12-18,62.0,15.0
2014-12-19,212.0,48.0
2014-12-20,1046.0,322.0
2014-12-21,1408.0,337.0
2014-12-22,592.0,170.0
2014-12-23,328.0,107.0
2014-12-24,304.0,105.0
2014-12-25,129.0,28.0
2014-12-26,157.0,49.0
2014-12-27,461.0,140.0
2014-12-28,254.0,88.0
2014-12-29,221.0,71.0
2014-12-30,202.0,80.0
2014-12-31,197.0,57.0
2015-01-01,233.0,69.0
2015-01-02,155.0,42.0
2015-01-03,167.0,48.0
2015-01-04,403.0,81.0
2015-01-05,136.0,32.0
2015-01-06,156.0,72.0
2015-01-07,75.0,27.0
2015-01-08,45.0,21.0
2015-01-09,95.0,43.0
2015-01-10,30.0,8.0
2015-01-11,28.0,4.0
2015-01-12,21.0,5.0
2015-01-13,30.0,11.0
2015-01-14,23.0,10.0
2015-01-15,28.0,10.0
2015-01-16,26.0,8.0
2015-01-17,40.0,11.0
2015-01-18,72.0,28.0
2015-01-19,14.0,5.0
2015-01-20,25.0,9.0
2015-01-21,20.0,6.0
2015-01-22,16.0,9.0
2015-01-23,24.0,9.0
2015-01-24,15.0,5.0
2015-01-25,18.0,4.0
2015-01-26,24.0,13.0
2015-01-27,25.0,12.0
2015-01-28,8.0,7.0
2015-01-29,11.0,6.0
2015-01-30,5.0,2.0
2015-01-31,,
2015-02-01,14.0,5.0
2015-02-02,11.0,2.0
2015-02-03,9.0,5.0
2015-02-04,16.0,8.0
2015-02-05,8.0,5.0
2015-02-06,8.0,5.0
2015-02-07,14.0,5.0
2015-02-08,10.0,4.0
2015-02-09,7.0,3.0
2015-02-10,11.0,2.0
2015-02-11,7.0,5.0
2015-02-12,13.0,6.0
2015-02-13,8.0,3.0
2015-02-14,11.0,10.0
2015-02-15,5.0,2.0
2015-02-16,10.0,4.0
2015-02-17,7.0,5.0
2015-02-18,12.0,5.0
2015-02-19,5.0,4.0
2015-02-20,6.0,1.0
2015-02-21,10.0,2.0
2015-02-22,8.0,4.0
2015-02-23,8.0,4.0
2015-02-24,,
2015-02-25,12.0,4.0
2015-02-26,6.0,3.0
2015-02-27,11.0,6.0
2015-02-28,4.0,3.0
2015-03-01,8.0,2.0
2015-03-02,22.0,13.0
2015-03-03,17.0,6.0
2015-03-04,30.0,8.0
2015-03-05,20.0,8.0
2015-03-06,23.0,13.0
2015-03-07,15.0,9.0
2015-03-08,17.0,3.0
2015-03-09,18.0,2.0
2015-03-10,10.0,4.0
2015-03-11,8.0,5.0
2015-03-12,821.0,269.0
2015-03-13,285.0,79.0
2015-03-14,422.0,44.0
2015-03-15,182.0,31.0
2015-03-16,101.0,11.0
2015-03-17,47.0,10.0
2015-03-18,25.0,5.0
2015-03-19,19.0,6.0
2015-03-20,54.0,10.0
2015-03-21,39.0,4.0
2015-03-22,50.0,8.0
2015-03-23,14.0,3.0
2015-03-24,42.0,6.0
2015-03-25,49.0,23.0
2015-03-26,27.0,11.0
2015-03-27,48.0,21.0
2015-03-28,168.0,26.0
2015-03-29,110.0,21.0
2015-03-30,65.0,17.0
2015-03-31,30.0,14.0
2015-04-01,15.0,11.0
2015-04-02,12.0,8.0
2015-04-03,8.0,5.0
2015-04-04,9.0,6.0
2015-04-05,7.0,5.0
2015-04-06,13.0,3.0
2015-04-07,31.0,10.0
2015-04-08,29.0,16.0
2015-04-09,68.0,22.0
2015-04-10,32.0,22.0
2015-04-11,30.0,13.0
2015-04-12,36.0,8.0
2015-04-13,12.0,5.0
2015-04-14,11.0,5.0
2015-04-15,16.0,12.0
2015-04-16,24.0,18.0
2015-04-17,22.0,16.0
2015-04-18,33.0,30.0
2015-04-19,12.0,4.0
2015-04-20,9.0,3.0
2015-04-21,12.0,2.0
2015-04-22,9.0,2.0
2015-04-23,13.0,8.0
2015-04-24,8.0,3.0
2015-04-25,27.0,7.0
2015-04-26,20.0,7.0
2015-04-27,247.0,84.0
2015-04-28,161.0,49.0
2015-04-29,123.0,31.0
2015-04-30,201.0,17.0
2015-05-01,201.0,41.0
2015-05-02,307.0,66.0
2015-05-03,413.0,60.0
2015-05-04,688.0,161.0
2015-05-05,387.0,57.0
2015-05-06,217.0,49.0
2015-05-07,138.0,37.0
2015-05-08,300.0,67.0
2015-05-09,179.0,22.0
2015-05-10,981.0,186.0
2015-05-11,352.0,78.0
2015-05-12,326.0,54.0
2015-05-13,323.0,56.0
2015-05-14,282.0,37.0
2015-05-15,240.0,33.0
2015-05-16,209.0,30.0
2015-05-17,150.0,32.0
2015-05-18,168.0,37.0
2015-05-19,91.0,23.0
2015-05-20,211.0,69.0
2015-05-21,303.0,54.0
2015-05-22,101.0,38.0
2015-05-23,117.0,34.0
2015-05-24,76.0,19.0
2015-05-25,78.0,30.0
2015-05-26,177.0,37.0
2015-05-27,265.0,27.0
2015-05-28,177.0,39.0
2015-05-29,83.0,21.0
2015-05-30,267.0,33.0
2015-05-31,107.0,21.0
2015-06-01,60.0,21.0
2015-06-02,46.0,19.0
2015-06-03,71.0,10.0
2015-06-04,69.0,21.0
2015-06-05,42.0,20.0
2015-06-06,30.0,4.0
2015-06-07,46.0,16.0
2015-06-08,69.0,17.0
2015-06-09,106.0,30.0
2015-06-10,123.0,34.0
2015-06-11,96.0,24.0
2015-06-12,49.0,8.0
2015-06-13,171.0,38.0
2015-06-14,50.0,22.0
2015-06-15,48.0,15.0
2015-06-16,39.0,17.0
2015-06-17,38.0,14.0
2015-06-18,24.0,6.0
2015-06-19,72.0,24.0
2015-06-20,131.0,27.0
2015-06-21,140.0,17.0
2015-06-22,47.0,6.0
2015-06-23,55.0,12.0
2015-06-24,66.0,15.0
2015-06-25,42.0,11.0
2015-06-26,80.0,20.0
2015-06-27,60.0,5.0
2015-06-28,72.0,11.0
2015-06-29,51.0,5.0
2015-06-30,37.0,8.0
2015-07-01,26.0,9.0
2015-07-02,20.0,3.0
2015-07-03,32.0,4.0
2015-07-04,22.0,7.0
2015-07-05,10.0,4.0
2015-07-06,21.0,6.0
2015-07-07,12.0,3.0
2015-07-08,23.0,4.0
2015-07-09,14.0,7.0
2015-07-10,19.0,6.0
2015-07-11,15.0,6.0
2015-07-12,85.0,9.0
2015-07-13,45.0,5.0
2015-07-14,57.0,16.0
2015-07-15,49.0,7.0
2015-07-16,29.0,9.0
2015-07-17,21.0,7.0
2015-07-18,26.0,10.0
2015-07-19,33.0,3.0
2015-07-20,22.0,5.0
2015-07-21,46.0,8.0
2015-07-22,100.0,27.0
2015-07-23,32.0,18.0
2015-07-24,41.0,11.0
2015-07-25,16.0,5.0
2015-07-26,13.0,7.0
2015-07-27,10.0,4.0
2015-07-28,25.0,8.0
2015-07-29,114.0,16.0
2015-07-30,280.0,13.0
2015-07-31,18.0,4.0
2015-08-01,21.0,7.0
2015-08-02,150.0,51.0
2015-08-03,138.0,43.0
2015-08-04,61.0,18.0
2015-08-05,54.0,22.0
2015-08-06,66.0,23.0
2015-08-07,40.0,11.0
2015-08-08,48.0,19.0
2015-08-09,101.0,32.0
2015-08-10,240.0,58.0
2015-08-11,125.0,34.0
2015-08-12,99.0,19.0
2015-08-13,122.0,23.0
2015-08-14,99.0,24.0
2015-08-15,79.0,24.0
2015-08-16,46.0,17.0
2015-08-17,25.0,7.0
2015-08-18,29.0,18.0
2015-08-19,25.0,9.0
2015-08-20,29.0,12.0
2015-08-21,48.0,17.0
2015-08-22,36.0,17.0
2015-08-23,66.0,30.0
2015-08-24,143.0,28.0
2015-08-25,56.0,13.0
2015-08-26,48.0,11.0
2015-08-27,52.0,19.0
2015-08-28,58.0,16.0
2015-08-29,802.0,193.0
2015-08-30,594.0,104.0
2015-08-31,657.0,100.0
2015-09-01,1105.0,259.0
2015-09-02,992.0,216.0
2015-09-03,2374.0,647.0
2015-09-04,1047.0,327.0
2015-09-05,576.0,147.0
2015-09-06,648.0,146.0
2015-09-07,556.0,152.0
2015-09-08,449.0,130.0
2015-09-09,321.0,104.0
2015-09-10,309.0,117.0
2015-09-11,269.0,91.0
2015-09-12,268.0,109.0
2015-09-13,376.0,146.0
2015-09-14,524.0,171.0
2015-09-15,263.0,96.0
2015-09-16,188.0,74.0
2015-09-17,164.0,82.0
2015-09-18,205.0,99.0
2015-09-19,201.0,84.0
2015-09-20,104.0,46.0
2015-09-21,96.0,52.0
2015-09-22,138.0,59.0
2015-09-23,116.0,46.0
2015-09-24,101.0,45.0
2015-09-25,128.0,34.0
2015-09-26,137.0,38.0
2015-09-27,83.0,32.0
2015-09-28,92.0,40.0
2015-09-29,100.0,30.0
2015-09-30,103.0,35.0
2015-10-01,87.0,32.0
2015-10-02,55.0,23.0
2015-10-03,73.0,24.0
2015-10-04,65.0,20.0
2015-10-05,129.0,40.0
2015-10-06,124.0,50.0
2015-10-07,80.0,43.0
2015-10-08,88.0,35.0
2015-10-09,116.0,46.0
2015-10-10,77.0,38.0
2015-10-11,182.0,40.0
2015-10-12,255.0,63.0
2015-10-13,127.0,45.0
2015-10-14,88.0,30.0
2015-10-15,74.0,35.0
2015-10-16,142.0,39.0
2015-10-17,103.0,26.0
2015-10-18,104.0,30.0
2015-10-19,79.0,22.0
2015-10-20,143.0,35.0
2015-10-21,531.0,138.0
2015-10-22,206.0,37.0
2015-10-23,146.0,26.0
2015-10-24,141.0,26.0
2015-10-25,178.0,41.0
2015-10-26,239.0,48.0
2015-10-27,271.0,54.0
2015-10-28,268.0,61.0
2015-10-29,198.0,58.0
2015-10-30,212.0,40.0
2015-10-31,170.0,27.0
2015-11-01,180.0,23.0
2015-11-02,221.0,52.0
2015-11-03,201.0,36.0
2015-11-04,259.0,62.0
2015-11-05,259.0,36.0
2015-11-06,182.0,40.0
2015-11-07,93.0,21.0
2015-11-08,105.0,23.0
2015-11-09,99.0,37.0
2015-11-10,77.0,25.0
2015-11-11,58.0,28.0
2015-11-12,43.0,8.0
2015-11-13,78.0,19.0
2015-11-14,38.0,9.0
2015-11-15,66.0,6.0
2015-11-16,105.0,23.0
2015-11-17,107.0,13.0
2015-11-18,114.0,21.0
2015-11-19,135.0,27.0
2015-11-20,228.0,22.0
2015-11-21,104.0,13.0
2015-11-22,105.0,16.0
2015-11-23,126.0,11.0
2015-11-24,190.0,25.0
2015-11-25,328.0,28.0
2015-11-26,218.0,10.0
2015-11-27,344.0,63.0
2015-11-28,647.0,55.0
2015-11-29,209.0,34.0
2015-11-30,138.0,19.0
2015-12-01,182.0,39.0
2015-12-02,279.0,97.0
2015-12-03,222.0,42.0
2015-12-04,162.0,17.0
2015-12-05,73.0,23.0
2015-12-06,134.0,33.0
2015-12-07,73.0,11.0
2015-12-08,52.0,14.0
2015-12-09,101.0,17.0
2015-12-10,98.0,24.0
2015-12-11,122.0,21.0
2015-12-12,108.0,14.0
2015-12-13,98.0,17.0
2015-12-14,54.0,14.0
2015-12-15,113.0,23.0
2015-12-16,110.0,19.0
2015-12-17,86.0,17.0
2015-12-18,83.0,10.0
2015-12-19,75.0,14.0
2015-12-20,153.0,19.0
2015-12-21,123.0,16.0
2015-12-22,79.0,14.0
2015-12-23,60.0,15.0
2015-12-24,56.0,14.0
2015-12-25,38.0,15.0
2015-12-26,139.0,11.0
2015-12-27,72.0,16.0
2015-12-28,115.0,18.0
2015-12-29,125.0,20.0
2015-12-30,114.0,12.0
2015-12-31,129.0,18.0
2016-01-01,93.0,17.0
2016-01-02,93.0,32.0
2016-01-03,160.0,19.0
2016-01-04,127.0,13.0
2016-01-05,49.0,8.0
2016-01-06,40.0,16.0
2016-01-07,76.0,9.0
2016-01-08,471.0,68.0
2016-01-09,294.0,41.0
2016-01-10,157.0,18.0
2016-01-11,125.0,25.0
2016-01-12,85.0,21.0
2016-01-13,73.0,9.0
2016-01-14,101.0,13.0
2016-01-15,131.0,28.0
2016-01-16,81.0,10.0
2016-01-17,61.0,13.0
2016-01-18,135.0,22.0
2016-01-19,51.0,7.0
2016-01-20,71.0,9.0
2016-01-21,84.0,15.0
2016-01-22,75.0,9.0
2016-01-23,27.0,5.0
2016-01-24,28.0,8.0
2016-01-25,74.0,9.0
2016-01-26,61.0,11.0
2016-01-27,97.0,28.0
2016-01-28,49.0,8.0
2016-01-29,41.0,10.0
2016-01-30,40.0,6.0
2016-01-31,67.0,13.0
2016-02-01,61.0,9.0
2016-02-02,46.0,6.0
2016-02-03,53.0,2.0
2016-02-04,84.0,20.0
2016-02-05,58.0,12.0
2016-02-06,145.0,23.0
2016-02-07,262.0,51.0
2016-02-08,289.0,53.0
2016-02-09,207.0,38.0
2016-02-10,361.0,59.0
2016-02-11,391.0,88.0
2016-02-12,388.0,83.0
2016-02-13,187.0,41.0
2016-02-14,166.0,29.0
2016-02-15,197.0,47.0
2016-02-16,166.0,33.0
2016-02-17,143.0,48.0
2016-02-18,163.0,29.0
2016-02-19,196.0,35.0
2016-02-20,239.0,38.0
2016-02-21,173.0,25.0
2016-02-22,176.0,25.0
2016-02-23,101.0,12.0
2016-02-24,117.0,24.0
2016-02-25,119.0,22.0
2016-02-26,88.0,27.0
2016-02-27,178.0,31.0
2016-02-28,325.0,73.0
2016-02-29,146.0,38.0
2016-03-01,114.0,27.0
2016-03-02,98.0,28.0
2016-03-03,76.0,33.0
2016-03-04,115.0,21.0
2016-03-05,136.0,10.0
2016-03-06,78.0,14.0
2016-03-07,140.0,15.0
2016-03-08,106.0,25.0
2016-03-09,69.0,12.0
2016-03-10,85.0,23.0
2016-03-11,184.0,46.0
2016-03-12,271.0,53.0
2016-03-13,161.0,64.0
2016-03-14,274.0,75.0
2016-03-15,153.0,30.0
2016-03-16,119.0,30.0
2016-03-17,140.0,31.0
2016-03-18,149.0,46.0
2016-03-19,210.0,58.0
2016-03-20,223.0,30.0
2016-03-21,194.0,36.0
2016-03-22,125.0,42.0
2016-03-23,49.0,12.0
2016-03-24,56.0,15.0
2016-03-25,49.0,5.0
2016-03-26,78.0,16.0
2016-03-27,97.0,16.0
2016-03-28,117.0,15.0
2016-03-29,91.0,24.0
2016-03-30,69.0,22.0
2016-03-31,253.0,31.0
2016-04-01,326.0,34.0
2016-04-02,75.0,15.0
2016-04-03,73.0,11.0
2016-04-04,85.0,5.0
2016-04-05,115.0,7.0
2016-04-06,78.0,10.0
2016-04-07,136.0,16.0
2016-04-08,85.0,23.0
2016-04-09,75.0,10.0
2016-04-10,116.0,22.0
2016-04-11,118.0,18.0
2016-04-12,87.0,18.0
2016-04-13,107.0,18.0
2016-04-14,132.0,34.0
2016-04-15,135.0,19.0
2016-04-16,114.0,12.0
2016-04-17,177.0,16.0
2016-04-18,129.0,10.0
2016-04-19,191.0,14.0
2016-04-20,65.0,9.0
2016-04-21,56.0,8.0
2016-04-22,101.0,12.0
2016-04-23,231.0,21.0
2016-04-24,121.0,18.0
2016-04-25,63.0,10.0
2016-04-26,84.0,7.0
2016-04-27,73.0,12.0
2016-04-28,58.0,14.0
2016-04-29,74.0,22.0
2016-04-30,154.0,18.0
